Candidates,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15,Transfer 16,Count 16,Transfer 17,Count 17
"WRITTEN-IN Decker, Marjorie C.",1285,28,1313,13,1326,5,1331,1,1332,1,1333,1,1334,2,1336,3,1339,1,1340,3,1343,23,1366,13,1379,14,1393,49,1442,79,1521,75,1596
Write-In Other,33,0,33,0,33,0,33,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,0,0,15,15,6,21,8,29,18,47,15,62,29,91,25,116,38,154,68,222,108,330,166,496,298,794,861,1655
Invalid,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118,0,118
Total,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073,0,16073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,11/3/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count Dates,11/3/2009,11/5/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,16073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Davis, Henrietta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Simmons, E Denise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Toomey, Timothy J., Jr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Kelley, Craig A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Mahar, David P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Reeves, Kenneth E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Seidel, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Decker, Marjorie C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Cheung, Leland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/-/media/Files/electioncommission/electionresults/2009citycouncilresults.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
