Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15
"Nolan, Patricia M.",1685,15,1700,8,1708,4,1712,5,1717,30,1747,18,1765,35,1800,24,1824,118,1942,124,2066,58,2124,0,2124,0,2124,0,2124
"Pitkin, John",536,5,541,1,542,3,545,4,549,13,562,13,575,10,585,11,596,98,694,-694,0,0,0,0,0,0,0,0,0
"Siddiqui, Sumbul",2516,-392,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124
"Simmons, E. Denise",2007,75,2082,5,2087,7,2094,4,2098,20,2118,6,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124,0,2124
"Simon, Ben",294,6,300,3,303,2,305,5,310,1,311,-311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sobrinho-Wheeler, Jivan",1321,32,1353,0,1353,4,1357,2,1359,17,1376,66,1442,42,1484,36,1520,17,1537,24,1561,86,1647,131,1778,346,2124,0,2124
"Toomey, Jr., Timothy J.",1729,15,1744,9,1753,5,1758,6,1764,4,1768,17,1785,12,1797,14,1811,12,1823,33,1856,24,1880,32,1912,95,2007,117,2124
"Williams, Nicola A.",631,7,638,0,638,1,639,6,645,11,656,27,683,25,708,54,762,32,794,81,875,-875,0,0,0,0,0,0,0
"Zondervan, Quinton Y.",1382,31,1413,1,1414,7,1421,16,1437,20,1457,40,1497,44,1541,21,1562,48,1610,111,1721,271,1992,65,2057,67,2124,0,2124
Write-In 1,17,0,17,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,15,15,4,19,9,28,14,42,22,64,17,81,35,116,23,139,47,186,93,279,84,363,213,576,1547,2123
Invalid,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85
Total,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239,0,21239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,"November 5, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 15, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,21324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Siddiqui, Sumbul",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Simmons, E. Denise",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Nolan, Patricia M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Mallon, Alanna M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Zondervan, Quinton Y.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Sobrinho-Wheeler, Jivan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"McGovern, Marc C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Carlone, Dennis J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Toomey, Jr., Timothy J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/Departments/electioncommission/news/2019/11/municipalelectionofficialresults,,,,,,,,,,,,,,,,,,,,,,,,,,,,
