Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15,Transfer 16,Count 16,Transfer 17,Count 17,Transfer 18,Count 18,Transfer 19,Count 19
"Toomey, Jr., Timothy J.",1619,46,1665,5,1670,15,1685,4,1689,6,1695,14,1709,2,1711,11,1722,45,1767,12,1779,22,1801,12,1813,18,1831,31,1862,95,1957,46,2003,250,2253,0,2253
"Volmar, Gwen Thomas",248,4,252,4,256,3,259,2,261,3,264,6,270,12,282,7,289,10,299,-299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zondervan, Quinton Y.",1565,7,1572,37,1609,0,1609,4,1613,13,1626,23,1649,23,1672,3,1675,47,1722,36,1758,10,1768,28,1796,67,1863,82,1945,71,2016,237,2253,0,2253,0,2253
Write-In 1,21,1,22,0,22,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,0,0,20,20,6,26,9,35,24,59,15,74,83,157,20,177,33,210,107,317,26,343,121,464,206,670,146,816,278,1094,697,1791,872,2663
Invalid,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72
Total,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524,0,22524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,"November 7, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 17, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,22596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,2253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Simmons, E. Denise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Siddiqui, Sumbul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"McGovern, Marc C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Devereux, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Mallon, Alanna M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Zondervan, Quinton Y.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Toomey, Jr., Timothy J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Carlone, Dennis J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Kelley, Craig A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/Departments/electioncommission/news/2017/11/2017municipalelectionofficialresults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
