Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15,Transfer 16,Count 16,Transfer 17,Count 17
"Mirza, Mushtaque A.",284,5,289,5,294,0,294,3,297,3,300,10,310,7,317,7,324,-324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moree, Gregg J.",38,1,39,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peden, Ronald",49,0,49,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phillips, Lesley Rebecca",82,7,89,8,97,1,98,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reeves, Kenneth E.",934,37,971,8,979,5,984,8,992,9,1001,5,1006,4,1010,18,1028,12,1040,11,1051,22,1073,19,1092,26,1118,47,1165,-1165,0,0,0
"Seidel, Sam",701,37,738,5,743,1,744,14,758,2,760,9,769,7,776,9,785,7,792,29,821,30,851,22,873,59,932,-932,0,0,0,0,0
"Simmons, E. Denise",1184,49,1233,6,1239,6,1245,13,1258,7,1265,6,1271,0,1271,20,1291,13,1304,25,1329,47,1376,16,1392,63,1455,82,1537,238,1775,0,1775
"Smith, Jefferson R.",579,28,607,2,609,2,611,1,612,4,616,2,618,2,620,9,629,4,633,22,655,36,691,9,700,-700,0,0,0,0,0,0,0
"Toomey, Jr., Timothy J.",1457,24,1481,7,1488,2,1490,3,1493,7,1500,0,1500,2,1502,22,1524,11,1535,8,1543,18,1561,42,1603,43,1646,41,1687,88,1775,0,1775
"Vasquez, Luis",264,9,273,2,275,4,279,2,281,4,285,4,289,4,293,-293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Von Hoffmann, Kristen Lane",420,20,440,0,440,5,445,10,455,7,462,7,469,1,470,8,478,7,485,29,514,-514,0,0,0,0,0,0,0,0,0,0,0
"Williamson, James M.",74,2,76,2,78,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yarden, Elie",102,1,103,2,105,7,112,5,117,1,118,-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vanBeuzekom, Minka Y.",875,64,939,3,942,3,945,6,951,9,960,11,971,11,982,22,1004,17,1021,57,1078,76,1154,27,1181,85,1266,146,1412,123,1535,-1535,0
Write-In 1,14,0,14,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 2,2,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,31,31,7,38,11,49,11,60,4,64,12,76,37,113,95,208,31,239,45,284,199,483,75,558,138,696,296,992,776,1768
Invalid,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,103
Total,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743,0,17743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,"November 5, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 15, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,17846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Cheung, Leland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Maher, David P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Benzan, Dennis A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Toomey, Jr., Timothy J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Simmons, E. Denise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"McGovern, Marc C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Carlone, Dennis J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Kelley, Craig A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Mazen, Nadeem A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/alerts/alerts2013/2013municipalelectionofficialresults.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
