Candidate,Count 1,Transfer 2,Count 2,Transfer 3,Count 3,Transfer 4,Count 4,Transfer 5,Count 5,Transfer 6,Count 6,Transfer 7,Count 7,Transfer 8,Count 8,Transfer 9,Count 9,Transfer 10,Count 10,Transfer 11,Count 11,Transfer 12,Count 12,Transfer 13,Count 13,Transfer 14,Count 14,Transfer 15,Count 15
"Simmons, E. Denise",1715,9,1724,3,1727,3,1730,5,1735,17,1752,5,1757,4,1761,6,1767,12,1779,7,1786,0,1786,0,1786,0,1786,0,1786
"Toomey, Jr., Timothy J.",1416,2,1418,5,1423,0,1423,0,1423,4,1427,2,1429,5,1434,17,1451,64,1515,6,1521,38,1559,41,1600,186,1786,0,1786
"Waite, Romaine",274,10,284,3,287,2,289,7,296,1,297,2,299,4,303,12,315,6,321,-321,0,0,0,0,0,0,0,0,0
"Williamson, James M.",72,1,73,0,73,2,75,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vanBeuzekom, Minka Y.",1014,8,1022,3,1025,3,1028,6,1034,3,1037,6,1043,14,1057,18,1075,11,1086,30,1116,77,1193,161,1354,107,1461,-1461,0
Write-In 1,25,0,25,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 2,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Write-In 4,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhausted,0,0,0,20,20,9,29,7,36,15,51,14,65,21,86,13,99,37,136,35,171,50,221,188,409,335,744,1036,1780
Invalid,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105,0,105
Total,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854,0,17854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Date,"November 3, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official Date,"November 13, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,17959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elected,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Mazen, Nadeem A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Simmons, E. Denise",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Maher, David P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Devereux, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Toomey, Jr., Timothy J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Cheung, Leland",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Kelley, Craig A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Carlone, Dennis J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"McGovern, Marc C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.cambridgema.gov/Departments/electioncommission/news/2015/11/2015municipalelectionresults,,,,,,,,,,,,,,,,,,,,,,,,,,,,
