Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Jivan Sobrinho-Wheeler,Timothy J. Toomey,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2020 #11,2020-01-27 Regular,2020-01-27,5,Appropriation,,,,Adopted,8-0-1,yes,yes,absent,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11189&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the FY2020 Cultural Investment Portfolio Program Grant from the Massachusetts Cultural Council in the amount of $12,100 to the Grant Fund Historical Commission Salaries and Wages account ($11,000), and Other Ordinary Maintenance account ($1,100) which will continue to support part-time archives assistants, who maintain the public archive of Cambridge history, as well as archival storage supplies."
CMA 2020 #12,2020-01-27 Regular,2020-01-27,6,Appropriation,,,,Adopted,6-0-3,yes,yes,absent,yes,yes,absent,absent,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11188&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $50,000 from the Cambridge Community Foundation to support the Agenda for Children Out of School Time Initiative to the Grant Fund Department of Human Service Programs Salary and Wages account ($5,000) and to the Grant Fund Department of Human Service Programs Other Ordinary Maintenance account ($45,000)."
CMA 2020 #13,2020-01-27 Regular,2020-01-27,7,Awaiting Report Response,,POR 2019 #302,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11199&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-118, regarding a report on senior scams and fraud."
CMA 2020 #14,2020-01-27 Regular,2020-01-27,8,Awaiting Report Response,,POR 2019 #304,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11198&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-120, regarding idling vehicles enforcement."
CMA 2020 #15,2020-01-27 Regular,2020-01-27,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11194&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $400,000 from Free Cash to the Public Investment Fund Public Works Extraordinary Expenditures Account for the design of improvements at the River Street Firehouse."
CMA 2020 #16,2020-01-27 Regular,2020-01-27,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11193&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $300,000 from Free Cash to the Public Investment Fund Public Works Extraordinary Expenditures Account for the design of improvements at the Lexington Avenue Firehouse."
CMA 2020 #17,2020-01-27 Regular,2020-01-27,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11192&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $500,000 from Free Cash, to the Public Investment Fund Public Works Extraordinary Expenditures Account for interior floor concrete slab repairs at Lafayette and Inman Square Firehouses."
CMA 2020 #18,2020-01-27 Regular,2020-01-27,12,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2586&MediaPosition=&ID=11191&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $300,000 from Free Cash, to the Public Investment Fund Public Works Extraordinary Expenditures Account to support the completion of Clarendon Avenue Playground."
CMA 2020 #19,2020-02-03 Regular,2020-02-03,1,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11270&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a recommendation in accordance with the requirements of the Massachusetts School Building Authority (MSBA) that the Cambridge City Council adopt an order for the Statement of Interest Form for the replacement of windows at the Cambridgeport School Building located at 89 Elm Street."
CMA 2020 #20,2020-02-03 Regular,2020-02-03,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11254&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $500,000 from Free Cash, to the Public Investment Fund Public Works Extraordinary Expenditures Account for upgrades to the Department of Public Works (DPW) Simard building which will be used for space reconfiguration and HVAC improvements on the second floor of the building, and will address ongoing heating, cooling and ventilation issues, which have become more prevalent with the addition of staff related to expanded programs and initiatives."
CMA 2020 #21,2020-02-03 Regular,2020-02-03,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11253&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the Massachusetts Department of Environmental Protection (DEP) Recycling Dividends Program grant in the amount of $97,500 to the Grant Fund Public Works Other Ordinary Maintenance account which will be used for various of the City’s recycling programs including the mattress recycling program."
CMA 2020 #22,2020-02-03 Regular,2020-02-03,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11271&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $250,000 in additional projected sewer revenues to the Public Investment Fund Public Works Extraordinary Expenditures account to provide funds for the purchase of a Catch Basin Cleaning Truck."
CMA 2020 #23,2020-02-03 Regular,2020-02-03,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11272&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  $300,000 from the Parking Fund balance to the Public Investment Fund Finance Extraordinary Expenses Account, to be used for a new Hybrid Vehicle Lottery Program for owners of Cambridge taxicab medallions."
CMA 2020 #24,2020-02-03 Regular,2020-02-03,6,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11285&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a home rule petition to the state legislature that would lower the voting age to sixteen (16) in municipal elections."
CMA 2020 #25,2020-02-03 Regular,2020-02-03,7,Appointment,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11286&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, recommending the appointment of the following person as a member of the Cambridge Housing Authority Board of Commissioners for a term of 5-years, as recommended by the Greater Boston Labor Council:  Louis Bacci, III."
CMA 2020 #26,2020-02-03 Regular,2020-02-03,8,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2587&MediaPosition=&ID=11288&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the Mayor's recommended appointments of the following member of the Family Policy Council, effective February 3, 2020 for the 2020-2021 Council term:  Vice Mayor Alanna Mallon and School Committee Member Ayesha Wilson."
CMA 2020 #27,2020-02-10 Regular,2020-02-10,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11318&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $301,785 in the General Fund between School Department statutory accounts as follows:  $301,785 from the Other Ordinary Maintenance account to the School Salaries & Wages account ($124,168) and to the Travel & Training Account ($177,617).  During the course of the school year, the School Department allows principals and department administrators to move funds across statutory categories within their budgets to better meet their educational needs."
CMA 2020 #28,2020-02-10 Regular,2020-02-10,2,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11319&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the reappointments of the following members of the Conservation Commission for a term of 3-years, effective February 1, 2020:  Purvi Patel, Ted Pickering and Kaki Martin."
CMA 2020 #29,2020-02-10 Regular,2020-02-10,3,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11320&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment and re-appointment of the following persons as members of the Recycling Advisory Committee for a term of 3-years, effective February 10, 2020:  Appointments: Leah Beckett, Holden Cookson, Catrina Damrell, Shirley Elliott, Sakiko Isomichi, Lindsay Levine, Scott MacGrath, Audrey Ng, Richard Nurse, Diane Roseman, and Suzanne Wong.  Reappointment's Ilana Bebchick, Debby Galef, Rob Gogan, Martha Henry, Susy Jones, Debby Knight, Janet Mosley, Laura Nichols, Meera Singh, Quinten Steenhuis, Mary Verhage, and Kristen Watkins."
CMA 2020 #30,2020-02-10 Regular,2020-02-10,4,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11321&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $1,200,000 from Free Cash, to the Public Investment Fund Public Works Extraordinary Expenditures Account for expanded tree planting and continued implementation of the Urban Forestry Master Plan recommendations."
CMA 2020 #31,2020-02-10 Regular,2020-02-10,5,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11310&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $20,000 from Free Cash to the General Fund Human Service Programs Other Ordinary Maintenance account which will be used for the support of the math enrichment programs provided by Cambridge Math Circle, a nonprofit organization and the Martin Luther King Day morning math festival."
CMA 2020 #32,2020-02-10 Regular,2020-02-10,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11315&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $150,000 of Community Schools additional revenue to the General Fund Human Service Programs Other Ordinary Maintenance account. Funds will allow the Community Schools to continue programming and pay the increased costs related to contractual services and other costs including bus transportation."
CMA 2020 #33,2020-02-10 Regular,2020-02-10,7,Awaiting Report Response,,POR 2019 #377,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11317&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-159, regarding safety concerns at the intersection of Walden and Saville Streets."
CMA 2020 #34,2020-02-10 Regular,2020-02-10,8,Transmitting Communication,,,,Received,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2588&MediaPosition=&ID=11327&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to amending the Cambridge Municipal Code to insure a Welcoming Community Ordinance."
CMA 2020 #35,2020-02-24 Regular,2020-02-24,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11311&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Massachusetts Formula Grant in the amount of $173,998.00 funded by the Massachusetts Executive Office of Elder Affairs to the Grant Fund Department of Human Service Programs Salary and Wages account ($109,283.00),  Other Ordinary Maintenance account ($57,915.00), and to the Travel and Training account ($6,800.00) which will be used for the Council on Aging Division to provide transportation for Cambridge seniors to medical appointments and weekly grocery shopping trips and will also support an activities assistant, an office aid, a meals assistant and several wellness/exercise instructors and group facilitators who provide services at the Citywide Senior Center."
CMA 2020 #36,2020-02-24 Regular,2020-02-24,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11313&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of additional funds for the Community Learning Center’s Massachusetts Department of Elementary and Secondary Education/Community Learning Services state grant in the amount of $33,425.00 to the Grant Fund Human Service Programs Salary and Wages account which will be used to increase part time staff hours for follow up, collection, tracking and entry of outcomes in LACES (the state database), for assessments; and for part time staff participation in CLC teams’ work, and for the newly hired ESOL/CAN teacher to familiarize herself with the program curriculum and to tutor students to pass the MA certificate exam and will also be used to pay for staff hours for education and career advising and curriculum coordination."
CMA 2020 #37,2020-02-24 Regular,2020-02-24,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11312&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of new Department of Housing and Community Development (DHCD) funds for the YWCA family shelter in the amount of $8,000.00 to the Grant Fund Human Service Programs Other Ordinary Maintenance account which will be used to provide educational enrichment (tutoring, school vacation programs, educational software and events) to children and teens residing in its DHCD funded family shelter during the July1, 2019 through June 30, 2020 contract year."
CMA 2020 #38,2020-02-24 Regular,2020-02-24,4,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11370&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a members of the Family Policy Council for a term of 2 years, effective February 24, 2020:  Hiba Eddaif and Irene Hill."
CMA 2020 #39,2020-02-24 Regular,2020-02-24,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11375&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the State Executive Office of Public Safety for $3,125 to the Grant Fund Fire Salaries and Wages account ($2,500.00) and Other Ordinary Maintenance account ($625.00) to provide funds for the Senior SAFE Program that educates seniors on the dangers of fire and its effect on people, property, and the environment."
CMA 2020 #40,2020-02-24 Regular,2020-02-24,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11374&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the State Executive Office of Public Safety for $10,655 to the Grant Fund Fire Salaries and Wages account ($8,855), Other Ordinary Maintenance account ($1,500.00) and Travel and Training account ($300.00) to provide funds to continue the Student Awareness of Fire Education (SAFE) Program that educates students on the dangers of fire and its effect on people, property, and the environment."
CMA 2020 #41,2020-02-24 Regular,2020-02-24,7,Awaiting Report Response,,POR 2019 #343,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11376&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-143, regarding a report on a pilot program with the Cambridge Housing Authority of assigning security officers with CHA premises in and near Central Square and The Port."
CMA 2020 #42,2020-02-24 Regular,2020-02-24,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11372&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of  $500,000 from Free Cash to the Public Investment Fund Public Works Extraordinary Expenditures Account for continued design of improvements to the DPW complex."
CMA 2020 #43,2020-02-24 Regular,2020-02-24,9,Awaiting Report Response,,POR 2019 #331,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11377&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 19-128, regarding ways the City is combating the city-wide rodent issues."
CMA 2020 #44,2020-02-24 Regular,2020-02-24,10,Awaiting Report Response,,POR 2020 #6,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11373&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-2, regarding a report on maintenance plan for public area bins on Cambridge Street with an emphasis on cleaning open-trash receptacles more frequently."
CMA 2020 #45,2020-02-24 Regular,2020-02-24,11,Awaiting Report Response,,POR 2020 #19,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11378&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 20-14, requesting an update on the Lechmere Station closure, the replacement bus service, and the community outreach that is planned."
CMA 2020 #46,2020-02-24 Regular,2020-02-24,12,Transmitting Communication,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11369&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a Planning Board recommendation to adopt the Incentive Zoning Contribution Rate Zoning Petition."
CMA 2020 #47,2020-02-24 Regular,2020-02-24,13,Transmitting Communication,,,,Referred to Committee,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11379&CssClass=,to health and environment committee.,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the Getting to Net Zero Action Plan Fiscal Year 2019 progress report."
CMA 2020 #48,2020-02-24 Regular,2020-02-24,14,Transmitting Communication,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2590&MediaPosition=&ID=11391&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the revised Surveillance Technology Impact Reports."
CMA 2020 #49,2020-03-02 Regular,2020-03-02,1,Transmitting Communication,,,,Report Accepted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11439&CssClass=,"Councillor Zondervan voted ""no""","A communication transmitted from Louis A. DePasquale, City Manager, relative to Surveillance Technology Impact Report regarding video recording devices on school buses."
CMA 2020 #50,2020-03-02 Regular,2020-03-02,2,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11413&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request for authorization to allow the Purchasing Agent to award a five (5) year contract to a successful bidder on the School Bus Transportation Bid."
CMA 2020 #51,2020-03-02 Regular,2020-03-02,3,Appointment,,,,Placed on File,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11414&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of new members and reappointments of the following persons as a members of the Human Services Commission for a term of three years, effective March 2, 2020.  New Members:  Collin Fedor, Christopher Fischer and Kathleen Kelly.  Reappointments:  Julie Asher, Christine Elow and Rev. Lorraine Thornhill."
CMA 2020 #52,2020-03-02 Regular,2020-03-02,4,Transmitting Communication,,,,Referred to Committee,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2591&MediaPosition=&ID=11380&CssClass=,Ordinance committee,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the Harvard Square Conservation District Study Committee report."
