Unique Identifier,Agenda Number,Meeting,Meeting Date,Sponsor,Co-Sponsors,Charter Right,Amended,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
POR 2018 #18,5,2018-01-29 Regular,2018-01-29,Timothy J. Toomey,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6206&CssClass=,"That the City Manager is requested to confer with the Community Development Department with the view in mind of creating a list of mitigated private spaces that are available to the public, what the exact eligibility of using these spaces is, and making the list available to the public.",
POR 2018 #19,6,2018-01-29 Regular,2018-01-29,Timothy J. Toomey,"Craig A. Kelley,Alanna Mallon",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6208&CssClass=,"That the City Manager is requested to confer with the Commissioner of Public Works and the City Engineer on the potential of utilizing trenchless technology, micro tunneling and/or pipe jacking to lessen the time and impact on the residents of Gore Street.",
POR 2018 #20,7,2018-01-29 Regular,2018-01-29,Marc C. McGovern,"Jan Devereux,Quinton Zondervan,Dennis J. Carlone",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6209&CssClass=,Endorsing Requests for Action or Further Study for the I-90 Allston Interchange Project in Boston.,
POR 2018 #21,8,2018-01-29 Regular,2018-01-29,Quinton Zondervan,"Sumbul Siddiqui,Timothy J. Toomey",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6213&CssClass=,That the City Manager maximize the community benefits from and mitigating the impacts of the Cambridge Crossing sewer construction.,
POR 2018 #22,9,2018-01-29 Regular,2018-01-29,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6230&CssClass=,"That the Order for Calendar Item Number One adopted as amended at the City Council meeting of January 29, 2018 relating to electric cars be bifurcated and be referred to the Health and Environment Committee.",
POR 2018 #23,1,2018-02-05 Regular,2018-02-05,Sumbul Siddiqui,"Jan Devereux,Quinton Zondervan,Craig A. Kelley",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6219&CssClass=,That the City Manager is requested to inquire whether the Community Development Department will apply for the Targeted Brownfields Assessment Grant regarding Jerry's Pond .,
POR 2018 #24,2,2018-02-05 Regular,2018-02-05,Marc C. McGovern,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6243&CssClass=,"That the Mayor is requested to schedule a Roundtable/Working Meeting for members of the City Council and School Committee for Tuesday, February 13, 2018, at 5:30 p.m. in the Henrietta Attles Meeting Room, Cambridge Rindge and Latin School, 459 Broadway, to begin discussions on a preliminary budget for fiscal year 2019.",
POR 2018 #25,3,2018-02-05 Regular,2018-02-05,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6257&CssClass=,That the City Manager is requested to work with the Community Development Department and any other relevant City Department to gain a sense of who is purchasing buildings in Cambridge.,
POR 2018 #26,4,2018-02-05 Regular,2018-02-05,Sumbul Siddiqui,E. Denise Simmons,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6258&CssClass=,City Council support for the Rosa Parks MBTA Decal Initiative.,
POR 2018 #27,5,2018-02-05 Regular,2018-02-05,Marc C. McGovern,E. Denise Simmons,,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6256&CssClass=,That the Office of the Mayor proclaim February 2018 as Black History Month and that the entire City Council go on record encouraging Cantabrigians to take time to learn more about the contributions and sacrifices made by African Americans in Cambridge and throughout the United States.,
POR 2018 #28,6,2018-02-05 Regular,2018-02-05,Alanna Mallon,Sumbul Siddiqui,,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6259&CssClass=,"That the City Manager be and hereby is requested to work with the Director of the Traffic, Parking and Transportation Department to explore the possibility of reconfiguring the traffic lights and pedestrian signals at the intersection of Massachusetts Avenue, Prospect Street, and River Street to stop all traffic and allow for an “ALL WALK” pedestrian signal and further to review improvements to the No Left Hand signage.",
POR 2018 #29,7,2018-02-05 Regular,2018-02-05,Dennis J. Carlone,"Jan Devereux,Quinton Zondervan,Sumbul Siddiqui",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6268&CssClass=,"City Council support of Representative Provost and the Cambridge Legislative Delegation’s efforts to pass a Right of First Refusal Bill, with an amendment for cities to provide final implementation modifications as needed.",
POR 2018 #30,8,2018-02-05 Regular,2018-02-05,Timothy J. Toomey,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6269&CssClass=,That the City Manager is requested to confer with the Commissioner of the Department of Publics Works on repairing Rufo Road as soon as possible.,
POR 2018 #31,9,2018-02-05 Regular,2018-02-05,Marc C. McGovern,,,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6270&CssClass=,"That the City Council go on record encouraging the entire Cambridge community to receive Mr. Buery’s keynote address at the 32nd Annual Reverend Dr. Martin Luther King Jr., Brunch on February 10, 2018 and congratulate the awardees.",
POR 2018 #32,1,2018-02-12 Regular,2018-02-12,Jan Devereux,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6273&CssClass=,Confer with the dedication Committee to consider a request from Clare Garman for a bench dedication in honor of Helen and Walter Fabianski.,
POR 2018 #33,2,2018-02-12 Regular,2018-02-12,Jan Devereux,Marc C. McGovern,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6300&CssClass=,That the City Manager is requested to work with the Community Development Department and the Cambridge Public Health Department regarding the current status of zoning language and public health regulations for the keeping of hens and food cultivation and proposed next steps to advance the Urban Agriculture initiative.,
POR 2018 #34,3,2018-02-12 Regular,2018-02-12,Jan Devereux,"Dennis J. Carlone,Quinton Zondervan,Sumbul Siddiqui",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6306&CssClass=,"That the City Manager is requested to consult with the Department of Public Works to report back to the Council on the success of the Polystyrene Ordinance, including implementation, enforcement, and remaining concerns among the business community.",
POR 2018 #35,4,2018-02-12 Regular,2018-02-12,Alanna Mallon,"Craig A. Kelley,Marc C. McGovern",,Yes,Adopted,5 to 4,yes,no,no,yes,no,yes,yes,no,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6315&CssClass=,"That the City Manager and the Mayor’s Office are requested to establish a new working group consisting of a diverse set of stakeholders, including cyclists, drivers, pedestrians, small business owners, EMS/first responders, and City Officials to discuss the results of the protected bike lane pilot using clear evaluation criteria, and how best to construct a cohesive network in the future.",
POR 2018 #36,5,2018-02-12 Regular,2018-02-12,Quinton Zondervan,Sumbul Siddiqui,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6332&CssClass=,"That the City Manager is requested to create additional opportunities for the community to evaluate and understand the plan to redesign Inman Square and to provide input, including: walk-in clinics between now and the next community meeting and making more details available online including alternative designs considered but deemed unworkable, traffic simulations, and other relevant data or information.",
POR 2018 #37,6,2018-02-12 Regular,2018-02-12,Dennis J. Carlone,"Jan Devereux,Quinton Zondervan,Sumbul Siddiqui",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6333&CssClass=,"That the City Manager is requested to contact the Chief Justice of the Housing Court, Timothy F. Sullivan, and urge him to strongly consider all options for siting the Housing Court in Cambridge, including but not limited to the Juvenile Court located on Third Street.",
POR 2018 #38,7,2018-02-12 Regular,2018-02-12,Quinton Zondervan,"Marc C. McGovern,Jan Devereux,E. Denise Simmons",,Yes,Adopted,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6334&CssClass=,That the City Manager is requested to report on progress and efforts made to date to provide greater access to internet services citywide for low income residents.,"AND. REFERRED TO NEIGHBORHOOD & LONG TERM PLANNING, PUBLIC FACILITIES, ARTS & CELEBRATIONS COMMITTEE."
POR 2018 #39,1,2018-02-26 Regular,2018-02-26,E. Denise Simmons,,E. Denise Simmons,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6382&CssClass=,"That the City Manager is requested to consult with the appropriate City personnel to determine why there continues to be significant audio and video difficulties during live internet broadcasts of City Council meetings, how these difficulties can be resolved.",CHARTER RIGHT EXERCISED BY COUNCILLOR SIMMONS. AS AMENDED
POR 2018 #40,2,2018-02-26 Regular,2018-02-26,E. Denise Simmons,Marc C. McGovern,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6388&CssClass=,"That the City Manager and the Mayor’s Office are requested to direct the new bicycle lane working group, once it has been convened, to hold a series of “listening sessions” at the senior buildings throughout Cambridge in order to ensure that our senior residents, who might otherwise be unable to attend the various hearings to weigh in on this issue, will have adequate opportunities to have their voices heard on an issue that could have an outsized impact upon them.",
POR 2018 #41,3,2018-02-26 Regular,2018-02-26,Marc C. McGovern,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6389&CssClass=,"Cancellation of the Regular City Council Meeting March 12, 2018.",
POR 2018 #42,4,2018-02-26 Regular,2018-02-26,Marc C. McGovern,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6390&CssClass=,"That the Regular City Council Meeting on Monday, April 9, 2018, be changed to a Roundtable/Working Meeting for the purpose of discussing the draft version of the Climate Change Preparedness & Resilience Plan for Alewife.",
POR 2018 #43,5,2018-02-26 Regular,2018-02-26,Quinton Zondervan,Jan Devereux,E. Denise Simmons,,Order Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6396&CssClass=,That the City Manager be and hereby is requested to confer with relevant City departments to create additional Safety Zones for safer streets.,CHARTER RIGHT EXERCISED BY COUNCILLOR SIMMONS. AS AMENDED
POR 2018 #44,6,2018-02-26 Regular,2018-02-26,Marc C. McGovern,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6403&CssClass=,"Proclaim March 1, 2018, as Cambridge White Ribbon Day, and the week of February 26 to March 2, 2018, a celebration of the work of Cambridge and its partners in a cohesive effort to end all gender-based violence in all its manifestations.",
POR 2018 #45,7,2018-02-26 Regular,2018-02-26,Jan Devereux,"Sumbul Siddiqui,Craig A. Kelley,Dennis J. Carlone",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6414&CssClass=,That the City Manager is requested to consult with City staff on the feasibility of initiating a formal transit study and action plan of the Alewife area in response to unanimous concerns of the Envision Alewife Working Group regarding the need for a pedestrian/bicycle/shuttle bridge from the Quadrangle area along Concord Avenue across the railroad tracks to the Triangle area on Cambridgepark Drive and a commuter rail stop which would be critical to create neighborhoods that are safe and healthy for residents and businesses.,
POR 2018 #46,8,2018-02-26 Regular,2018-02-26,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6427&CssClass=,"Dedication Marker for Katherine ""Kitty"" Knox.",
POR 2018 #47,9,2018-02-26 Regular,2018-02-26,E. Denise Simmons,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6431&CssClass=,Dedication Marker for Renae D. Gray.,
POR 2018 #48,10,2018-02-26 Regular,2018-02-26,Craig A. Kelley,"Quinton Zondervan,Jan Devereux",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6397&CssClass=,That the City Manager is requested to report back to the City Council with an explanation of the causes of the Cambridge Common drainage problems.,
POR 2018 #49,11,2018-02-26 Regular,2018-02-26,Marc C. McGovern,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6438&CssClass=,"That the City Manager is requested to work with the Traffic, Parking and Transportation Department and the Cambridge Police Department to increase enforcement of relevant parking laws around the Enterprise Rent-A-Car location at 25 River Street.",
POR 2018 #50,12,2018-02-26 Regular,2018-02-26,E. Denise Simmons,"Alanna Mallon,Dennis J. Carlone,Timothy J. Toomey",,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6404&CssClass=,City Council support to expedite the relocation of the Cambridge District Court from Malden back to its originally assigned jurisdiction within the City of Cambridge.,
POR 2018 #51,13,2018-02-26 Regular,2018-02-26,Craig A. Kelley,Jan Devereux,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6440&CssClass=,"That the City Manager is requested to report back to the City Council with an explanation of why it took so long to repair the public toilet in Harvard Square  and what proactive methods are being taken into consideration to prevent this interruption of service from happening again, at either the Harvard Square or the Central Square public toilet.",
POR 2018 #52,14,2018-02-26 Regular,2018-02-26,Jan Devereux,"Craig A. Kelley,Dennis J. Carlone",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6443&CssClass=,"That the City Manager is requested to consult with the Traffic, Parking, and Transportation Department regarding what further improvements can be made to improve safety for all users of the intersections of Walden Street with Concord Avenue, Garden Street and Sherman Street.",
POR 2018 #53,15,2018-02-26 Regular,2018-02-26,Alanna Mallon,"E. Denise Simmons,Marc C. McGovern",,Yes,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6447&CssClass=,That the City Manager ensure that appropriate measures have been taken to allow residents at 808/812 Memorial Drive to voice their concerns about a proposed Mobil Gas Station liquor license before any action is taken by the License Commission.,
POR 2018 #54,16,2018-02-26 Regular,2018-02-26,Marc C. McGovern,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6452&CssClass=,"Declare February 28, 2018, in conjunction with Rare Disease Day, be recognized as Henri A. Termeer Day in the City of Cambridge.",
POR 2018 #55,17,2018-02-26 Regular,2018-02-26,Dennis J. Carlone,"Quinton Zondervan,Sumbul Siddiqui",E. Denise Simmons,,Order Failed of Adoption,3 to 6,no,no,yes,no,yes,no,no,yes,no,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6455&CssClass=,That the City Manager is requested to direct the City Solicitor to draft language for a home rule petition for a Cambridge Right of First Refusal Legislation.,CHARTER RIGHT EXERCISED BY COUNCILLOR SIMMONS
POR 2018 #56,18,2018-02-26 Regular,2018-02-26,Sumbul Siddiqui,"Marc C. McGovern,E. Denise Simmons",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6457&CssClass=,That the City Manager is requested to confer with the Community Development Department to develop a timeline for the next Incentive Zoning Nexus Study.,
POR 2018 #57,19,2018-02-26 Regular,2018-02-26,Craig A. Kelley,Dennis J. Carlone,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6458&CssClass=,"That the City Manager is requested to work with City staff to provide easily accessible needle safety information, to include emergency needle or syringe removal and disposal contacts, on the City’s website",
POR 2018 #58,20,2018-02-26 Regular,2018-02-26,Marc C. McGovern,,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6460&CssClass=,"Proclaim February 28, 2018, to be Rare Disease Day in the City of Cambridge, in recognition of the research and education that remains in finding cures for patients the world over.",
POR 2018 #59,21,2018-02-26 Regular,2018-02-26,Marc C. McGovern,Alanna Mallon,,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6462&CssClass=,"City Council endorsement of H.3610, ""An Act Temporarily Preventing Firearm Access for Extremely Dangerous or Suicidal Individuals.""",
POR 2018 #60,1,2018-03-05 Regular,2018-03-05,Jan Devereux,"Alanna Mallon,Sumbul Siddiqui",,,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6509&CssClass=,"That the City Manager is requested to confer with the Traffic, Parking & Transportation Department, the License Commission, and any other City departments about the possibility of re-evaluating the fees associated with community block parties, specifically entertainment fees for unpaid, local musicians.",
