Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2018 #30,3,2018-02-12 Regular,2018-02-12,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6303&CssClass=,Resolution on the death of Benvinda DaRosa.,
RES 2018 #31,4,2018-02-12 Regular,2018-02-12,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6304&CssClass=,Resolution on the death of Martha A. Barrell,
RES 2018 #32,5,2018-02-12 Regular,2018-02-12,Happy Birthday Resolution,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6305&CssClass=,Happy Birthday wishes to Councillor Sumbul Siddiqui.,
RES 2018 #33,6,2018-02-12 Regular,2018-02-12,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6308&CssClass=,Resolution on the death of Sophie Duggan.,
RES 2018 #34,7,2018-02-12 Regular,2018-02-12,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6310&CssClass=,Resolution on the death of Mathilde Sheehan.,
RES 2018 #35,8,2018-02-12 Regular,2018-02-12,Congratulations,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6326&CssClass=,Congratulations to Eric Maynard for receiving the Frederick Douglass Isaacs Jr. Lay Leadership Award.,
RES 2018 #36,9,2018-02-12 Regular,2018-02-12,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6342&CssClass=,Resolution on the death of Janice Kerrigan.,
RES 2018 #37,10,2018-02-12 Regular,2018-02-12,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6343&CssClass=,"Resolution on the death of William A. ""Bubi"" Gomes.",
RES 2018 #38,11,2018-02-12 Regular,2018-02-12,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6345&CssClass=,Resolution on the death of Edna Martin.,
RES 2018 #39,12,2018-02-12 Regular,2018-02-12,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6346&CssClass=,Resolution on the death of Walter Edgehill.,
RES 2018 #40,13,2018-02-12 Regular,2018-02-12,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6347&CssClass=,Congratulations to Lawrence S. Bacow on being named 29th President of Harvard University.,
RES 2018 #41,1,2018-02-26 Regular,2018-02-26,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6350&CssClass=,"Retirement of Mary E. ""Marybeth"" Cosgrove from the City Clerk's Office.",
RES 2018 #42,2,2018-02-26 Regular,2018-02-26,Retirement Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6353&CssClass=,Retirement of Elaine DeRosa from the Cambridge Economic Opportunity Committee.,
RES 2018 #43,3,2018-02-26 Regular,2018-02-26,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6367&CssClass=,Resolution on the death of Esther Richards.,
RES 2018 #44,4,2018-02-26 Regular,2018-02-26,Death Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6391&CssClass=,Resolution on the death of Samuel Bixler.,
RES 2018 #45,5,2018-02-26 Regular,2018-02-26,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6392&CssClass=,Congratulations to the Fayerweather Street School on the occasion of the second annual Children's March & Love Rally.,
RES 2018 #46,6,2018-02-26 Regular,2018-02-26,Congratulations,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6393&CssClass=,"That the City Council congratulates Omari Thom, the founder of Fair America, for his activism and engagement which supports progressive candidates, particularly on issues of immigration.",
RES 2018 #47,7,2018-02-26 Regular,2018-02-26,Death Resolution,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6395&CssClass=,Resolution on the death of former Cambridge Police Officer and President of the Policeman's Association Joseph Bellissimo.,
RES 2018 #48,8,2018-02-26 Regular,2018-02-26,Happy Birthday Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6405&CssClass=,Happy 60th Birthday to Sandra Murrell.,
RES 2018 #49,9,2018-02-26 Regular,2018-02-26,Happy Birthday Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6406&CssClass=,Happy 60th Birthday wishes to Cheryl Vass.,
RES 2018 #50,10,2018-02-26 Regular,2018-02-26,Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6407&CssClass=,Speedy Recovery wishes to Kathleen Walcott.,
RES 2018 #51,11,2018-02-26 Regular,2018-02-26,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6416&CssClass=,Resolution on the death of Maria D. Cabral.,
RES 2018 #52,12,2018-02-26 Regular,2018-02-26,Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6421&CssClass=,Happy 20th Wedding Anniversary to Renee and Jamie Townes.,
RES 2018 #53,13,2018-02-26 Regular,2018-02-26,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6422&CssClass=,Resolution on the Death of Evelyn Bynoe.,
RES 2018 #54,14,2018-02-26 Regular,2018-02-26,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6425&CssClass=,Best wishes to Phyllis Newton on her retirement from the Fletcher Maynard Academy.,
RES 2018 #55,15,2018-02-26 Regular,2018-02-26,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6426&CssClass=,"Congratulations to Patrick Wardell on the birth of his first grandchild, Rowan Patrick Cook.",
RES 2018 #56,16,2018-02-26 Regular,2018-02-26,Happy Birthday Resolution,Sumbul Siddiqui,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6428&CssClass=,Happy Birthday wishes to Alice Pedro.,
RES 2018 #57,17,2018-02-26 Regular,2018-02-26,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6429&CssClass=,Resolution on the death of Leda Massie.,
RES 2018 #58,18,2018-02-26 Regular,2018-02-26,Happy Birthday Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6430&CssClass=,Happy Birthday wishes to Nadine Simmons.,
RES 2018 #59,19,2018-02-26 Regular,2018-02-26,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6432&CssClass=,"Retirement of Frederick Powell from the Traffic, Parking and Transportation Department.",
RES 2018 #60,20,2018-02-26 Regular,2018-02-26,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6400&CssClass=,Congratulations to Spare Change News on its 25th Anniversary.,
RES 2018 #61,21,2018-02-26 Regular,2018-02-26,Death Resolution,Quinton Zondervan,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6435&CssClass=,Resolution on the death of Vanu Bose.,
RES 2018 #62,22,2018-02-26 Regular,2018-02-26,Congratulations,Quinton Zondervan,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6436&CssClass=,Congratulations to Noah Weinberg and Lila Berinsky on the occasion of receiving a Disney Summer of Service grant to combat climate change.,
RES 2018 #63,23,2018-02-26 Regular,2018-02-26,Death Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6446&CssClass=,Resolution on the death of Richard E. Brimley.,
RES 2018 #64,24,2018-02-26 Regular,2018-02-26,Retirement Resolution,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6459&CssClass=,"Congratulations and thanks to William B. ""Bill"" King on the occasion of his retirement.",
RES 2018 #65,25,2018-02-26 Regular,2018-02-26,Happy Birthday Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6423&CssClass=,Happy 100th Birthday wishes to Muriel Turk.,
RES 2018 #66,26,2018-02-26 Regular,2018-02-26,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6465&CssClass=,"Condolences to Retired Fire Chief Gerald Reardon and Director of Assessment Robert Reardon on the death of their mother Catherine ""Kay"" Reardon.",
RES 2018 #67,1,2018-03-05 Regular,2018-03-05,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6468&CssClass=,Resolution on the closing of Ryles Jazz Club.,
RES 2018 #68,2,2018-03-05 Regular,2018-03-05,Death Resolution,Jan Devereux,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6484&CssClass=,Resolution on the death of Lynn Hinerman.,
RES 2018 #69,3,2018-03-05 Regular,2018-03-05,Retirement Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6466&CssClass=,Retirement of John Ciampa from the Board of Directors of the Community Action Agency of Somerville.,
RES 2018 #70,4,2018-03-05 Regular,2018-03-05,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6467&CssClass=,Resolution on the death of Roland Eugene Lachance.,
RES 2018 #71,5,2018-03-05 Regular,2018-03-05,Death Resolution,Alanna Mallon,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6510&CssClass=,"Resolution on the death of William ""Bill"" Noble.",
RES 2018 #72,6,2018-03-05 Regular,2018-03-05,Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6517&CssClass=,Speedy Recovery wishes to Jimmy Smith.,
RES 2018 #73,7,2018-03-05 Regular,2018-03-05,Congratulations,Craig A. Kelley,Adopted as Amended,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6550&CssClass=,Congratulations and thanks to Exceptional Lives for their work in providing information to parents and caregivers of children and adults with developmental disabilities.,
RES 2018 #74,8,2018-03-05 Regular,2018-03-05,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6551&CssClass=,Congratulations and best wishes to the Garment District on their celebration of thirty-two years of being in business.,
RES 2018 #75,9,2018-03-05 Regular,2018-03-05,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6562&CssClass=,Resolution on the death of Shirley A. Bonvie,
RES 2018 #76,10,2018-03-05 Regular,2018-03-05,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6564&CssClass=,"Resolution on the death of Henry L. ""Hank"" ""Swink"" Slonina.",
RES 2018 #77,11,2018-03-05 Regular,2018-03-05,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6565&CssClass=,Resolution on the death of Katherine E. Marco.,
RES 2018 #78,12,2018-03-05 Regular,2018-03-05,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6566&CssClass=,Resolution on the death of Alice Raulinaitis.,
RES 2018 #79,13,2018-03-05 Regular,2018-03-05,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2091&MediaPosition=&ID=6567&CssClass=,Resolution on the death of Jean Owens.,
