Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2018 #11,2018-01-22 Regular,2018-01-22,8,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6132&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $152,000 from Free Cash to the General Fund Emergency Communications Department Travel and Training Account to provide funds to move the existing public safety radio equipment from the Sullivan Courthouse located at 40 Thorndike Street."
CMA 2018 #12,2018-01-22 Regular,2018-01-22,9,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6121&CssClass=,8-0-1,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $30,000 from the General Fund Employee Benefits (Insurance) Salary and Wages account to the General Fund Traffic, Parking and Transportation Travel and Training (Judgment and Damages) account to cover current and anticipated medical services and/or prescription reimbursement costs for the remainder of the fiscal year for Traffic and Parking personnel injured in the performance of their duties."
CMA 2018 #13,2018-01-22 Regular,2018-01-22,10,Transmitting Communication,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6125&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to an update on the Gore Street construction project."
CMA 2018 #14,2018-01-22 Regular,2018-01-22,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6133&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $5 million from Fund Free Cash to the Public Investment Fund Executive Department Extraordinary Expenditures account, for the City’s first contribution to the GLX project."
CMA 2018 #15,2018-01-22 Regular,2018-01-22,12,Transmitting Communication,,,,Referred to the Petition,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2062&MediaPosition=&ID=6155&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a Planning Board recommendation to adopt parts of the Kroon, et al, Harvard Square Zoning Petition and to further study some parts."
CMA 2018 #16,2018-01-29 Regular,2018-01-29,1,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6157&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following persons as a members of the Family Policy Council effective January 29, 2018:  City Councillor Alanna Mallon, City Councillor Sumbul Siddiqui and School Committee Member Laurance Kimbrough."
CMA 2018 #17,2018-01-29 Regular,2018-01-29,2,Appropriation,,,,Adopted,7-0-2,yes,yes,yes,yes,yes,absent,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6123&CssClass=,7-0-2,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the  transfer of $25,000 from the General Fund Employee Benefits (Insurance) Salary and Wages account to the General Fund Library Travel and Training (Judgment and Damages) account to cover current and anticipated medical services and/or prescription reimbursement costs for the remainder of the fiscal year for Library personnel injured in the performance of their duties."
CMA 2018 #18,2018-01-29 Regular,2018-01-29,3,Appropriation,,,,Adopted,7-0-2,yes,yes,yes,yes,yes,absent,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6124&CssClass=,7-0-2,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the FY18 Early Childhood Resource Center grant received from the Massachusetts Department of Early Education and Care in the amount of $9,333.33 to the Grant Fund Library Salary and Wages account ($1,600) and the Grant Fund Library Other Ordinary Maintenance account ($7,733.33) which will support parent/provider workshops, library materials, and staff time to provide on-site services."
CMA 2018 #19,2018-01-29 Regular,2018-01-29,4,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6171&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following persons as a members of the Library Board of Trustees for a term of three years, effective February 1, 2018:  Janet Axelrod and James Roosevelt"
CMA 2018 #20,2018-01-29 Regular,2018-01-29,5,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6170&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a member of the Board of Trustees of the Cambridge Health Alliance representing Somerville for a term commencing on February 1, 2018 and concluding on June 30, 2019:  Robert Buchanan."
CMA 2018 #21,2018-01-29 Regular,2018-01-29,6,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6182&CssClass=,8-0-1,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the FY18 Local Cultural Council grant from the Massachusetts Cultural Council (MCC) for $21,600 to the Public Celebrations (Arts Council) Other Ordinary Maintenance account which will be used to support the Arts Council’s Artist Grant Program through which financial grants will be made to individual artists and local arts/cultural organizations producing work and programs to educate the broader community on the arts."
CMA 2018 #22,2018-01-29 Regular,2018-01-29,7,Appropriation,,,,Adopted,7-0-2,yes,yes,yes,yes,yes,absent,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6183&CssClass=,7-0-2,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Massachusetts Formula Grant in the amount of $140,941.00 funded by the Massachusetts Executive Office of Elder Affairs to the Grant Fund Human Service Programs Salary and Wages account ($95,602.98), to the Other Ordinary Maintenance account ($39,088.02), and to the Travel and Training account ($6,250.00) which will be used to provide transportation for Cambridge seniors to medical appointments and weekly grocery shopping trips."
CMA 2018 #23,2018-01-29 Regular,2018-01-29,8,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6184&CssClass=,8-0-1,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the MetroNorth Regional Employment Board for $83,737.00 to the Grant Fund Human Service Programs Salary and Wages account ($41,868.50) and to the Other Ordinary Maintenance account ($41,868.50) which will be used to reimburse the City for salary costs associated with enrolling income-eligible youth in the Mayor’s Summer Youth Employment Program and to support program costs for work sites taking large numbers of youth and developing worksites for youth participants."
CMA 2018 #24,2018-01-29 Regular,2018-01-29,9,Appropriation,,,,Adopted,7-0-2,yes,yes,yes,yes,yes,yes,yes,yes,absent,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6185&CssClass=,7-0-2,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the Bertucci’s Pizza Benefit Night donation and family fundraiser in the amount of $816.64 to Grant Fund Human Service Programs Other Ordinary Maintenance account.  The Morse Preschool and Windsor Street Preschool held fundraisers to support program activities. The funds will be utilized to support field trips for both programs and to purchase gardening and other classroom supplies."
CMA 2018 #25,2018-01-29 Regular,2018-01-29,10,Transmitting Communication,,,,Adopted,Affirmative Vote,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2063&MediaPosition=&ID=6186&CssClass=,ON AN AFFIRMATIVE VOTE OF 8 MEMBERS,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the requirements of the Massachusetts School Building Authority (MSBA) that the City Council adopt an order for the Statement of Interest Form to be submitted to MSBA no later than February 16, 2018 for the replacement of the roof, including the installation of photovoltaic panels (PV) if deemed structurally and financially possible at the Graham and Parks School Building, located at 44 Linnaean Street."
CMA 2018 #26,2018-02-05 Regular,2018-02-05,1,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6251&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the transfer of $11,000 from the Grant Fund Emergency Communications Salary & Wages account to the Grant Fund Emergency Communications Travel & Training account of funds from the FY18 State 911 Department Training Grant and EMD/Regulatory Compliance Grant from the Executive Office of Public Safety and Security State 911 Department which will cover costs associated with the FY18 grant allocation."
CMA 2018 #27,2018-02-05 Regular,2018-02-05,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6252&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $190,000 of additional programming revenue to the General Fund Human Service Programs Other Ordinary Maintenance account which will allow the Community Schools to continue programming and pay the increased costs related to contractual services and other costs including bus transportation."
CMA 2018 #28,2018-02-05 Regular,2018-02-05,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2064&MediaPosition=&ID=6253&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $20,000.00 from Free Cash to Grant Fund Human Service Programs Other Ordinary Maintenance account for a hitting tunnel at Danehy Park."
CMA 2018 #29,2018-02-12 Regular,2018-02-12,1,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6299&CssClass=,9-0-0,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the Final Landmark Designation Report for the Lechmere National Bank building at 225/227 Cambridge Street."
CMA 2018 #30,2018-02-12 Regular,2018-02-12,2,Transmitting Communication,,,E. Denise Simmons,Order Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6298&CssClass=,EXERCISED BY COUNCILLOR SIMMONS ON 2A AND 2B,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the Final Landmark Designation Report for the Hovey & Markham Cottages as follows:  Property located at 44 Cottage Street.  See renumbered Agenda item #2 and #8 on 2/12/2018, formerly Agenda item #1A and #1B on 2/12/2018."
CMA 2018 #31,2018-02-12 Regular,2018-02-12,3,Appropriation,,,,Adopted,unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6313&CssClass=,,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of the FY18 Violence Against Women Act (VAWA) STOP Grant for $40,000 received from the Executive Office of Public Safety and Security (EOPSS) to the Grant Fund Police Department Other Ordinary Maintenance account to provide funds to contract with a civilian advocate to help implement the Police Department’s Trauma Informed approach to policing."
CMA 2018 #32,2018-02-12 Regular,2018-02-12,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6312&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a Sustainable Materials Recovery grant from the Massachusetts Department of Environmental Protection in the amount of $38,800 to the Grant Fund Department of Public Works Other Ordinary Maintenance Account which will be used toward the purchase of food waste collection bins for the citywide curbside organics program."
CMA 2018 #33,2018-02-12 Regular,2018-02-12,5,Awaiting Report Response,,POR 2017 #282,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6311&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 17-111, regarding the feasibility of implementing neighborways."
CMA 2018 #34,2018-02-12 Regular,2018-02-12,6,Awaiting Report Response,,POR 2018 #2,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6309&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 18-02, regarding repairs and maintenance of the elevators at Fresh Pond Apartments."
CMA 2018 #35,2018-02-12 Regular,2018-02-12,7,Awaiting Report Response,,POR 2018 #1,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6307&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 18-01, regarding a report on possibility of a supermarket opening at 20 Sidney Street."
CMA 2018 #56,2018-02-12 Regular,2018-02-12,8,Transmitting Communication,,,E. Denise Simmons,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2081&MediaPosition=&ID=6497&CssClass=,EXERCISED BY COUNCILLOR SIMMONS ON 2A AND 2B,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the Final Landmark Designation Report for the Hovey & Markham Cottages as follows:  Property located at 40 Cottage Street.  See renumbered Agenda item #2 and #8 on 2/12/2018, formerly Agenda item #1A and #1B on 2/12/2018."
CMA 2018 #36,2018-02-26 Regular,2018-02-26,1,Transmitting Communication,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6439&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the City of Cambridge retaining its noteworthy distinction of being one of approximately 33 municipalities in the United States with AAA ratings from each of the nation’s three major credit rating agencies."
CMA 2018 #37,2018-02-26 Regular,2018-02-26,2,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6398&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the reappointment of the following person as a Constable With Power for a term of three years, effective the first day of January, 2018:  Albert Darling"
CMA 2018 #38,2018-02-26 Regular,2018-02-26,3,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6399&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a new member of the Human Rights Commisisoner for a term of three years, effective February 26, 2018:  Kuong Le"
CMA 2018 #39,2018-02-26 Regular,2018-02-26,4,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6434&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following persons as a members of the Half Crown-Marsh Neighborhood Conservation District Commission for a term of three years, effective February 26, 2018: James Van Sickle, Jo Solet, Maximilian Frank and Rory A. O'Connor"
CMA 2018 #40,2018-02-26 Regular,2018-02-26,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6433&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of of $27,875.80 in additional municipal access fees to the General Fund Cable Television Other Ordinary Maintenance account to provide additional payments to Cambridge Community Television (CCTV)."
CMA 2018 #41,2018-02-26 Regular,2018-02-26,6,Appointment,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6413&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to the appointment of the following person as a new member of the Conservation Commission for a term of three years, effective February 26, 2018:  Elyss Magnotto-Cleary"
CMA 2018 #42,2018-02-26 Regular,2018-02-26,7,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6424&CssClass=,9-0-0,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request for the City Council vote to approve the use of the new voting equipment and to discontinue the use of the existing voting equipment effective immediately."
CMA 2018 #43,2018-02-26 Regular,2018-02-26,8,Awaiting Report Response,,POR 2018 #36,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6408&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 18-16, regarding a report on Inman Square construction."
CMA 2018 #44,2018-02-26 Regular,2018-02-26,9,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6402&CssClass=,9-0-0,"A communication transmitted from Louis A. DePasquale, City Manager, relative to a request for an aerial license for a structural canopy to be constructed over a portion of the public sidewalk in front of property located at 21 Erie Street."
CMA 2018 #45,2018-02-26 Regular,2018-02-26,10,Awaiting Report Response,,POR 2017 #239,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6401&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 17-86, regarding a report on the enforcement of idling-trains."
CMA 2018 #46,2018-02-26 Regular,2018-02-26,11,Awaiting Report Response,,POR 2018 #15,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6437&CssClass=,,"A communication transmitted from Louis A. DePasquale, City Manager, relative to Awaiting Report Item Number 17-88, regarding a report on providing clarification for the benefit of residents, visitors, and business owners on how the City views its obligations and constraints regarding marijuana enforcement and regulations; and Awaiting Report Item Number 18-8, regarding a report on any work that is currently underway regarding regulating adult use marijuana and to suggest next steps to the Council no later than February 26, 2018."
CMA 2018 #47,2018-02-26 Regular,2018-02-26,12,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6411&CssClass=,9-0-0. ,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $241,830.00 from Free Cash to cover the cost of equipment and medical screening of 17 new firefighters."
CMA 2018 #48,2018-02-26 Regular,2018-02-26,13,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6418&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of $164,000 from Free Cash to the General Fund Fire Department Extraordinary Expenditures to replace EMS Coats for all presently employed firefighters, and update 22 sets of bunker gear for present members."
CMA 2018 #49,2018-02-26 Regular,2018-02-26,14,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6412&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a Homeland Security Grant from the City of Boston for $18,917.77 to the Grant Fund Fire Salary and Wages account. The City has received this grant, as reimbursement, for trainings performed in conjunction with the Urban Area Security Initiative (UASI)."
CMA 2018 #50,2018-02-26 Regular,2018-02-26,15,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2082&MediaPosition=&ID=6420&CssClass=,9-0-0,"Transmitting Communication from Louis A. DePasquale, City Manager, relative to the appropriation of a grant from the Urban Areas Security Initiative (UASI) through the City of Boston’s Office of Emergency Management for $50,000.00 to the Fire Department Extraordinary Expenditures account which will be used for dive team and marine unit equipment."
