Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Description,Notes
RES 2022 #11,4,01/24/22 Regular,01/24/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15427&CssClass=,Congratulations to Christine Elow on her appointment as Commissioner of the Cambridge Police Department.,
RES 2022 #12,5,01/24/22 Regular,01/24/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15428&CssClass=,Condolences to the family of Charles V. Willie.,
RES 2022 #13,6,01/24/22 Regular,01/24/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15431&CssClass=,Thanks to the organizers of the Martin Luther King Jr. Day of Service.,
RES 2022 #14,7,01/24/22 Regular,01/24/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15433&CssClass=,Resolution on the death of Maurico Gutierrez.,
RES 2022 #15,8,01/24/22 Regular,01/24/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15434&CssClass=,Best wishes to Cindy DiRusso on the occasion of her retirement from the O'Neill Branch of the Cambridge Public Library.,
RES 2022 #16,9,01/24/22 Regular,01/24/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15447&CssClass=,Congratulations to Senator-elect Lydia Edwards for her new role on Beacon Hill.,
RES 2022 #17,10,01/24/22 Regular,01/24/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15452&CssClass=,Resolution on the Death of Janet Belanger.,
RES 2022 #18,11,01/24/22 Regular,01/24/22,Death Resolution,Withdrawn,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15463&CssClass=,Resolution on the death of Anne Alach.,
RES 2022 #19,12,01/24/22 Regular,01/24/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4015&MediaPosition=&ID=15461&CssClass=,Resolution on the death of Mary Ann Baxter,
RES 2022 #20,1,01/31/22 Regular,01/31/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15500&CssClass=,"Congratulations to the City Manager’s Anti-Racism, Diversity, Equity, and Inclusion Awardees.",
RES 2022 #21,2,01/31/22 Regular,01/31/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15501&CssClass=,Condolences to the family of State Senator Bill Owens.,
RES 2022 #22,3,01/31/22 Regular,01/31/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15509&CssClass=,Congratulations to Deval Patrick on the occasion of his new role at the Kennedy School of Government’s Center for Public Leadership.,
RES 2022 #23,4,01/31/22 Regular,01/31/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15512&CssClass=,Resolution on the death of Doris Cyr.,
RES 2022 #24,5,01/31/22 Regular,01/31/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15529&CssClass=,Resolution on the death of Eleanor Vailliant.,
RES 2022 #25,6,01/31/22 Regular,01/31/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15530&CssClass=,"Congratulations to Peter Ciurczak and Elizabeth McIntyre on the birth of their daughter, June Ciurczak-McIntyre.",
RES 2022 #26,7,01/31/22 Regular,01/31/22,Congratulations,Adopted,8-1-0,yes,yes,yes,yes,yes,yes,yes,yes,no,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4016&MediaPosition=&ID=15534&CssClass=,That the City Council and City of Cambridge go on record thanking Officer Albert for his long and honorable service to the City of Cambridge.,
RES 2022 #27,1,02/07/22 Regular,02/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15570&CssClass=,Resolution on the death of Maria (Vieira) Moniz.,
RES 2022 #28,2,02/07/22 Regular,02/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15574&CssClass=,Resolution on the death of Margaret (Kiely) Grogan.,
RES 2022 #29,3,02/07/22 Regular,02/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15575&CssClass=,Resolution on the death of Paula Mullane.,
RES 2022 #30,4,02/07/22 Regular,02/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15578&CssClass=,Resolution on the Death of Raylene Penrose.,
RES 2022 #31,5,02/07/22 Regular,02/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15579&CssClass=,Resolution on the Death of Pastor Warren F. Collins.,
RES 2022 #32,6,02/07/22 Regular,02/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15580&CssClass=,Resolution on the Death retired Cambridge Department Officer Reuben N Dottin Jr.,
RES 2022 #33,7,02/07/22 Regular,02/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15581&CssClass=,Resolution on the Death of Shauntoo Cottrell.,
RES 2022 #34,8,02/07/22 Regular,02/07/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15582&CssClass=,Congratulating Richard Bock for recently receiving the 1st Place Prize in the Chatham Creative Arts Center Photo Show.,
RES 2022 #35,9,02/07/22 Regular,02/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15583&CssClass=,Resolution on the Death of Lisa Jarvis.,
RES 2022 #36,1,02/28/22 Regular,02/28/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15605&CssClass=,Resolution on the death of Trudy Joan Cox.,
RES 2022 #37,2,02/28/22 Regular,02/28/22,Resolution,Adopted,8-0-1,yes,absent,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15612&CssClass=,Thanks to Anne Shuhler and the entire Classic Graphx team for more than 35 years of exemplary service to the people and businesses of Cambridge.,
RES 2022 #38,3,02/28/22 Regular,02/28/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15613&CssClass=,Resolution on the death of Avram Goldberg.,
RES 2022 #39,4,02/28/22 Regular,02/28/22,Congratulations,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15629&CssClass=,That the City Council go on record thanking the TTT Mentor Program’s Mentees for participating in the TTT Mentor Program’s 2021-2022 session.,
RES 2022 #40,5,02/28/22 Regular,02/28/22,Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15630&CssClass=,City Council thanks to the Mentors for enriching the lives of their Mentees by participating in the TTT Mentor Program’s 2021-2022 session.,
RES 2022 #41,6,02/28/22 Regular,02/28/22,Retirement Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15636&CssClass=,"City Council thanks to The Reverend Kathleen O’Keefe Reed for her years of extraordinary service to the people of Cambridge, and in wishing her well in her retirement.",
RES 2022 #42,7,02/28/22 Regular,02/28/22,Death Resolution,Adopted as Amended,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15637&CssClass=,Resolution on the death of Salvatore Fantasia.,add zondervan as cosponsor
RES 2022 #43,8,02/28/22 Regular,02/28/22,Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15652&CssClass=,"That the City Council go on record thanking Izzy Maldonado and his family for over 41 years of serving up some of the finest comfort food in Cambridge at Izzy’s Restaurant & Sub Shop, and in wishing the family well as the beloved institution passes into memory.",
RES 2022 #44,9,02/28/22 Regular,02/28/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15655&CssClass=,Condolences to the family of Glenn M. Tegan for their tremendous loss.,add toner as cosponsor
RES 2022 #45,10,02/28/22 Regular,02/28/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15660&CssClass=,Resolution on the death of Tommaso Sasso.,
RES 2022 #46,11,02/28/22 Regular,02/28/22,Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15748&CssClass=,Happy 80th Birthday wishes to Peter Valentine.,
RES 2022 #47,12,02/28/22 Regular,02/28/22,Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15784&CssClass=,Resolution on Green Line Extension,
RES 2022 #48,13,02/28/22 Regular,02/28/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15787&CssClass=,"The Cambridge City Council was saddened to learn of the passing of George Berkowitz, Cambridge native and founder of Legal Cash Market in Cambridge in 1950 and later, Legal Sea Foods, in Inman Square in 1968.",
RES 2022 #49,1,03/07/22 Regular,03/07/22,Resolution,Adopted,8-0-1,yes,absent,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15841&CssClass=,"Congratulations to the East Cambridge Business Association, Gather Here Stitch Lounge, and Commonwealth Alternative Care on the opening of the Inman Incubator.",
RES 2022 #50,2,03/07/22 Regular,03/07/22,Death Resolution,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15862&CssClass=,Resolution on the death of Jamilah Bakr.,
RES 2022 #51,1,03/21/22 Regular,03/21/22,Congratulations,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15891&CssClass=,Congratulations on the retirement of Superintendent Leonard DiPietro from the Cambridge Police Department.,
RES 2022 #52,2,03/21/22 Regular,03/21/22,Happy Birthday Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15892&CssClass=,Happy 100th Birthday to Marion A. Sullivan.,
RES 2022 #53,3,03/21/22 Regular,03/21/22,Death Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15893&CssClass=,Resolution on the death of Muriel C. Greene.,
RES 2022 #54,4,03/21/22 Regular,03/21/22,Death Resolution,Adopted as Amended,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15895&CssClass=,Resolution on the death of Kenneth Singleton.,add toner as cosponsor
RES 2022 #55,5,03/21/22 Regular,03/21/22,Death Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15899&CssClass=,Resolution on the death of Herminia B. (Nunes) Martins.,
RES 2022 #56,6,03/21/22 Regular,03/21/22,Death Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15900&CssClass=,Resolution on the death of Carol Lawlor.,
RES 2022 #57,7,03/21/22 Regular,03/21/22,Happy Birthday Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15905&CssClass=,Happy Birthday wishes to Renee Townes.,
RES 2022 #58,8,03/21/22 Regular,03/21/22,Happy Birthday Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15907&CssClass=,Happy 90th Birthday to Moses Moore.,
RES 2022 #59,9,03/21/22 Regular,03/21/22,Congratulations,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15908&CssClass=,Congratulations on the retirement of Debra Deegan.,
RES 2022 #60,10,03/21/22 Regular,03/21/22,Congratulations,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15909&CssClass=,Congratulations on the retirement of  Bryce Platt.,
RES 2022 #61,11,03/21/22 Regular,03/21/22,Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15910&CssClass=,"Resolution on the death of Charles T. Hinds, Sr.",
RES 2022 #62,12,03/21/22 Regular,03/21/22,Congratulations,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15912&CssClass=,"Congratulations to Connor EpsteinKraus and Liz Epstein on the birth of their son, Benjamin Jacob Epstein.",
RES 2022 #63,13,03/21/22 Regular,03/21/22,Congratulations,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15914&CssClass=,Congratulations on the retirement of John Gallagher from the Cambridge Fire Department.,
RES 2022 #64,14,03/21/22 Regular,03/21/22,Death Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15915&CssClass=,Resolution on the death of Lawrence Hudson.,
RES 2022 #65,15,03/21/22 Regular,03/21/22,Death Resolution,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15934&CssClass=,"Resolution on the death of Charles F. ""Chuck"" Mountain.",
RES 2022 #66,16,03/21/22 Regular,03/21/22,Congratulations,Adopted,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15942&CssClass=,Congratulations on the Retirement of Lieutenant Daniel Reagan from the Cambridge Police Department.,
RES 2022 #67,17,03/21/22 Regular,03/21/22,Death Resolution,Adopted as Amended,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15945&CssClass=,Resolution on the death of Joyce Marie McClure,add simmons as co-sponsor
RES 2022 #68,1,03/28/22 Regular,03/28/22,Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15972&CssClass=,Resolution on the Death of Donna Richardson.,
RES 2022 #69,2,03/28/22 Regular,03/28/22,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15974&CssClass=,Resolution on the death of Walter Davis Jr.,
RES 2022 #70,3,03/28/22 Regular,03/28/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15983&CssClass=,Thanks to the Cambridge Public Library team and encouraging Cambridge residents to participate in programs and events celebrating National Library Week.,by voice
RES 2022 #71,4,03/28/22 Regular,03/28/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15985&CssClass=,Congratulations on the Promotion of Superintendent Frederick J. Cabral of the Cambridge Police Department,by voice vote
RES 2022 #72,5,03/28/22 Regular,03/28/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15986&CssClass=,Congratulations on the Promotion of Deputy Superintendent Peter A. Vellucci Jr.  of the Cambridge Police Department,by voice vote
RES 2022 #73,6,03/28/22 Regular,03/28/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15987&CssClass=,Congratulations on the Promotion of Deputy Superintendent Steven B. Magalhaes of The Cambridge Police Department,by voice vote
RES 2022 #74,7,03/28/22 Regular,03/28/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15988&CssClass=,Congratulations on the Promotion of Deputy Superintendent Anthony G. Macone of The Cambridge Police Department,by voice vote
RES 2022 #75,8,03/28/22 Regular,03/28/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15993&CssClass=,Congratulations Sian Heder,by voice vote
RES 2022 #76,9,03/28/22 Regular,03/28/22,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15994&CssClass=,Resolution on the death of Helen N. Murrell.,by voice
RES 2022 #77,1,04/04/22 Regular,04/04/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=15989&CssClass=,Congratulations to Gilda M. Nogueira for being named MAPS 2022 Person of the Year,
RES 2022 #78,2,04/04/22 Regular,04/04/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=15990&CssClass=,Congratulations to Julia Evora for being awarded the MAPS Jorge Fidalgo Community Service Award,
RES 2022 #79,3,04/04/22 Regular,04/04/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=15991&CssClass=,Congratulations to Debora Guimaraes for being awarded the MAPS Manuel Coutinho Outstanding Volunteer Award,
RES 2022 #80,4,04/04/22 Regular,04/04/22,Death Resolution,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16012&CssClass=,Condolences to the family of Miriam G. (Dottin) Cox,
RES 2022 #81,5,04/04/22 Regular,04/04/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16024&CssClass=,Congratulations to Dr. Norma Finkelstein on her Retirement,
RES 2022 #82,6,04/04/22 Regular,04/04/22,Congratulations,Adopted,Voice Vote,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16026&CssClass=,"Congratulations George R. Greenidge, Jr, American Sociological Association's Community & Urban Publicly Engaged Scholar Award Recipient 2022",
