Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Yeas,Nays,Present,Absent,Recused,Link,Notes
CMA 2022 #19,2022-02-07 Regular,2022-02-07,2,Appointment,,,,Approved,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4017&MediaPosition=&ID=15552&CssClass=,
CMA 2022 #20,2022-02-28 Regular,2022-02-28,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15606&CssClass=,
CMA 2022 #21,2022-02-28 Regular,2022-02-28,2,Awaiting Report Response,,POR 2021 #271,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15625&CssClass=,
CMA 2022 #22,2022-02-28 Regular,2022-02-28,3,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15609&CssClass=,by vice mayor
CMA 2022 #23,2022-02-28 Regular,2022-02-28,4,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15614&CssClass=,
CMA 2022 #24,2022-02-28 Regular,2022-02-28,5,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15607&CssClass=,
CMA 2022 #25,2022-02-28 Regular,2022-02-28,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15622&CssClass=,
CMA 2022 #26,2022-02-28 Regular,2022-02-28,7,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15624&CssClass=,
CMA 2022 #27,2022-02-28 Regular,2022-02-28,8,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15623&CssClass=,by vice mayor
CMA 2022 #28,2022-02-28 Regular,2022-02-28,9,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15635&CssClass=,
CMA 2022 #29,2022-02-28 Regular,2022-02-28,10,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15621&CssClass=,
CMA 2022 #30,2022-02-28 Regular,2022-02-28,11,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15618&CssClass=,
CMA 2022 #31,2022-02-28 Regular,2022-02-28,12,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15620&CssClass=,
CMA 2022 #32,2022-02-28 Regular,2022-02-28,13,Appointment,,,Alanna Mallon,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15616&CssClass=,by vice mayor
CMA 2022 #33,2022-02-28 Regular,2022-02-28,14,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15634&CssClass=,
CMA 2022 #34,2022-02-28 Regular,2022-02-28,15,Transmitting Communication,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15628&CssClass=,Referred to the health and environment by Nolan
CMA 2022 #35,2022-02-28 Regular,2022-02-28,16,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15632&CssClass=,
CMA 2022 #36,2022-02-28 Regular,2022-02-28,17,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4019&MediaPosition=&ID=15633&CssClass=,
CMA 2022 #37,2022-03-07 Regular,2022-03-07,1,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15776&CssClass=,
CMA 2022 #38,2022-03-07 Regular,2022-03-07,2,Appropriation,,,Patricia Nolan,Adopted,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15777&CssClass=,by nolan
CMA 2022 #39,2022-03-07 Regular,2022-03-07,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15778&CssClass=,
CMA 2022 #40,2022-03-07 Regular,2022-03-07,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15779&CssClass=,
CMA 2022 #41,2022-03-07 Regular,2022-03-07,5,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,absent,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15780&CssClass=,
CMA 2022 #42,2022-03-07 Regular,2022-03-07,6,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,absent,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15781&CssClass=,
CMA 2022 #43,2022-03-07 Regular,2022-03-07,7,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15782&CssClass=,
CMA 2022 #44,2022-03-07 Regular,2022-03-07,8,Awaiting Report Response,,POR 2021 #109,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15837&CssClass=,
CMA 2022 #45,2022-03-07 Regular,2022-03-07,9,Transmitting Communication,,,,Charter Right,,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15789&CssClass=,by azeem
CMA 2022 #46,2022-03-07 Regular,2022-03-07,10,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15836&CssClass=,
CMA 2022 #47,2022-03-07 Regular,2022-03-07,11,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15811&CssClass=,
CMA 2022 #48,2022-03-07 Regular,2022-03-07,12,Transmitting Communication,,,,Approved,8-1-0,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15839&CssClass=,accepted and approved
CMA 2022 #49,2022-03-07 Regular,2022-03-07,13,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15783&CssClass=,roll call applies to two enclosed orders
CMA 2022 #50,2022-03-07 Regular,2022-03-07,14,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15844&CssClass=,
CMA 2022 #51,2022-03-07 Regular,2022-03-07,15,Transmitting Communication,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15786&CssClass=,public safety by azeem
CMA 2022 #52,2022-03-07 Regular,2022-03-07,16,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4020&MediaPosition=&ID=15845&CssClass=,
CMA 2022 #53,2022-03-21 Regular,2022-03-21,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15896&CssClass=,
CMA 2022 #54,2022-03-21 Regular,2022-03-21,2,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15897&CssClass=,
CMA 2022 #55,2022-03-21 Regular,2022-03-21,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15901&CssClass=,
CMA 2022 #56,2022-03-21 Regular,2022-03-21,4,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15902&CssClass=,
CMA 2022 #57,2022-03-21 Regular,2022-03-21,5,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15903&CssClass=,
CMA 2022 #58,2022-03-21 Regular,2022-03-21,6,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15904&CssClass=,
CMA 2022 #59,2022-03-21 Regular,2022-03-21,7,Transmitting Communication,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4022&MediaPosition=&ID=15906&CssClass=,
CMA 2022 #60,2022-03-28 Regular,2022-03-28,1,Transmitting Communication,,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15962&CssClass=,
CMA 2022 #61,2022-03-28 Regular,2022-03-28,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15964&CssClass=,
CMA 2022 #62,2022-03-28 Regular,2022-03-28,3,Awaiting Report Response,AR-22-11,,,Placed on File,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4023&MediaPosition=&ID=15968&CssClass=,
CMA 2022 #63,2022-04-04 Regular,2022-04-04,1,Appropriation,,POR 2022 #38,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16005&CssClass=,
CMA 2022 #64,2022-04-04 Regular,2022-04-04,2,Awaiting Report Response,,POR 2021 #216,,Placed on File,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16006&CssClass=,
CMA 2022 #65,2022-04-04 Regular,2022-04-04,3,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=15999&CssClass=,
CMA 2022 #66,2022-04-04 Regular,2022-04-04,4,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=15997&CssClass=,
CMA 2022 #67,2022-04-04 Regular,2022-04-04,5,Awaiting Report Response,,POR 2021 #181,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16007&CssClass=,
CMA 2022 #68,2022-04-04 Regular,2022-04-04,6,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16009&CssClass=,
CMA 2022 #69,2022-04-04 Regular,2022-04-04,7,Appropriation,,,,Adopted,8-0-1,yes,yes,yes,yes,yes,yes,yes,absent,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16010&CssClass=,
CMA 2022 #70,2022-04-04 Regular,2022-04-04,8,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16011&CssClass=,
CMA 2022 #71,2022-04-04 Regular,2022-04-04,9,Awaiting Report Response,,POR 2021 #116,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4024&MediaPosition=&ID=16008&CssClass=,attached order adopted and. attached Code Amedmt ordinance passed to a second reading.
CMA 2022 #73,2022-04-11 Regular,2022-04-11,1,Awaiting Report Response,,POR 2022 #10,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16040&CssClass=,
CMA 2022 #74,2022-04-11 Regular,2022-04-11,2,Transmitting Communication,,,Dennis J. Carlone,Adopted,8-1-0,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16052&CssClass=,by carlone
CMA 2022 #75,2022-04-11 Regular,2022-04-11,3,Awaiting Report Response,,POR 2022 #29,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16039&CssClass=,
CMA 2022 #76,2022-04-11 Regular,2022-04-11,4,Awaiting Report Response,,POR 2021 #217,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16038&CssClass=,
CMA 2022 #77,2022-04-11 Regular,2022-04-11,5,Transmitting Communication,,,,Referred to the Petition,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16042&CssClass=,
CMA 2022 #78,2022-04-11 Regular,2022-04-11,6,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4025&MediaPosition=&ID=16051&CssClass=,
CMA 2022 #79,2022-04-25 Regular,2022-04-25,1,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16108&CssClass=,
CMA 2022 #80,2022-04-25 Regular,2022-04-25,2,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16112&CssClass=,
CMA 2022 #81,2022-04-25 Regular,2022-04-25,3,Appropriation,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16111&CssClass=,
CMA 2022 #82,2022-04-25 Regular,2022-04-25,4,Appointment,,,,Adopted,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16113&CssClass=,
CMA 2022 #83,2022-04-25 Regular,2022-04-25,5,Awaiting Report Response,,POR 2021 #23,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16114&CssClass=,
CMA 2022 #84,2022-04-25 Regular,2022-04-25,6,Transmitting Communication,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16115&CssClass=,to housing committee
CMA 2022 #85,2022-04-25 Regular,2022-04-25,7,Appointment,,,,Referred to Committee,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4026&MediaPosition=&ID=16117&CssClass=,to the NLTP committee
CMA 2022 #86,2022-05-02 Regular,2022-05-02,1,Transmitting Communication,,,,Referred to Committee,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16191&CssClass=,to the finance committee
CMA 2022 #87,2022-05-02 Regular,2022-05-02,2,Appropriation,,,,Passed to a Second Reading,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16200&CssClass=,
CMA 2022 #88,2022-05-02 Regular,2022-05-02,3,Transmitting Communication,,,,Passed to a Second Reading,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16202&CssClass=,
CMA 2022 #89,2022-05-02 Regular,2022-05-02,4,Transmitting Communication,,,,Passed to a Second Reading,8-0-1,absent,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4027&MediaPosition=&ID=16201&CssClass=,
