"Unique Identifier","Agenda Number","Meeting","Meeting Date","Category","Awaiting Report","Policy Order","Charter Right","Outcome","Vote","Type of Vote","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Catherine Zusy","Yeas","Nays","Present","Absent","Link","Summary"
"CMA 2024 #213","5","2024-09-30 Regular","45565","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25724&CssClass=","Appropriation of $55,000.00 received from the Cambridge Community Foundation to support the Agenda for Children Out of School Time Initiative to the Grant Fund Department of Human Service Programs Salary and Wages account ($5,000.00) and to the Grant Fund Department of Human Service Programs Other Ordinary Maintenance account ($50,000.00).  The Foundation supports a small portion of the salary of the Agenda for Children Youth Connector who works with the Upper Schools and Youth Programs to support young people and their families in accessing services and programs."
"CMA 2024 #214","6","2024-09-30 Regular","45565","Communication","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25725&CssClass=","a Preservation Restriction at 90 Brattle Street."
"CMA 2024 #215","7","2024-09-30 Regular","45565","Communication","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25719&CssClass=","the Half Crown-Marsh NCD Decennial Review Report."
"CMA 2024 #216","8","2024-09-30 Regular","45565","Communication","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25729&CssClass=","request that the City Council authorize the purchase of a parcel of land located within the town of Lexington identified as 0 Cambridge/Concord Turnpike in Lexington, Massachusetts."
"CMA 2024 #217","9","2024-09-30 Regular","45565","Awaiting Report Response","AR-24-52","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4578&MediaPosition=&ID=25730&CssClass=","Awaiting Report Item Number 24-52, regarding an evaluation of the legal feasibility of the following proposals and analyze how much housing could be created under the following proposals."
"CMA 2024 #218","1","2024-10-07 Regular","45572","Awaiting Report Response","AR-24-47","","","Placed on File","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4579&MediaPosition=&ID=25845&CssClass=","Awaiting Report Item Number #24-47, regarding the garbage chute at 1 Leighton Street."
"CMA 2024 #219","2","2024-10-07 Regular","45572","Communication","","","","Placed on File","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4579&MediaPosition=&ID=25856&CssClass=","an update on Memorial Drive."
"CMA 2024 #221","1","2024-10-21 Regular","45586","Communication","","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25932&CssClass=","an update from the Human Resources Department."
"CMA 2024 #222","2","2024-10-21 Regular","45586","Appointment","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25926&CssClass=","the appointment of Diane Smith as a member of the Cambridge Human Rights Commission for a term of three years."
"CMA 2024 #223","3","2024-10-21 Regular","45586","Awaiting Report Response","AR-24-39","","","Referred Back","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25936&CssClass=","Awaiting Report Item Number 24-39, regarding the feasibility of utilizing the large screen televisions in the community rooms of CHA buildings to enable seniors living in these buildings to participate in (via public comment) and view City Council meetings as they are held."
"CMA 2024 #224","4","2024-10-21 Regular","45586","Awaiting Report Response","AR-24-50","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25931&CssClass=","Awaiting Report Item Number 24-50, regarding a review on the Short Term Rentals Ordinance in Cambridge."
"CMA 2024 #225","5","2024-10-21 Regular","45586","Awaiting Report Response","AR-24-57","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25927&CssClass=","Awaiting Report Item Number 24-57 regarding the issue of leaking substances from DPW garbage trucks."
"CMA 2024 #226","6","2024-10-21 Regular","45586","Awaiting Report Response","AR-24-44","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25929&CssClass=","Awaiting Report Item Number 24-44  regarding a legal opinion on restricting the use of a solar system."
"CMA 2024 #227","7","2024-10-21 Regular","45586","Communication","","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25938&CssClass=","the Planning Board Report regarding the BZA Dormers Zoning Petition."
"CMA 2024 #228","8","2024-10-21 Regular","45586","Awaiting Report Response","AR-24-51","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25928&CssClass=","Awaiting Report Item Number 24-51 regarding automated parking enforcement."
"CMA 2024 #229","9","2024-10-21 Regular","45586","Awaiting Report Response","AR-24-20","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25943&CssClass=","Awaiting Report Item Number 24-20, regarding recommendations for amendments to the Parking and Transportation Demand Management (PTDM) and Zoning Ordinances."
"CMA 2024 #230","10","2024-10-21 Regular","45586","Awaiting Report Response","","POR 2024 #50","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4580&MediaPosition=&ID=25940&CssClass=","Policy Order Number 24-50, regarding proposed amendments to the Cycling Safety Ordinance to extend the deadline associated with the completion of those sections of the ordinance that are required to be completed by May 1, 2026."
"CMA 2024 #231","1","2024-11-04 Regular","45600","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4582&MediaPosition=&ID=26094&CssClass=","Appropriation of $34,535.00, received from the U.S. Department of Justice, Bureau of Justice Assistance, to the Grant Fund Police Department Other Ordinary Maintenance account. This grant will support the purchase of computer equipment in new police cruisers."
"CMA 2024 #232","2","2024-11-04 Regular","45600","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4582&MediaPosition=&ID=26095&CssClass=","Appropriation of $59,982.00 to the Grant Fund Police Department Salary and Wages account. The funds will be allocated for personnel/overtime and will fund high-visibility traffic enforcement of motor vehicle laws related, but not limited, to impaired and occupant protection as well as initiatives that address pedestrian and bicycle safety issues, coupling educational projects with enforcement of laws to reduce pedestrian and bicycle related injuries and crashes."
"CMA 2024 #233","3","2024-11-04 Regular","45600","Awaiting Report Response","AR-24-56","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4582&MediaPosition=&ID=26090&CssClass=","Awaiting Report Item Number 24-56, regarding a request to consider scheduling a Household Hazardous Waste (HHW) Collection Day and a Paper Shredding Event on a Sunday, instead of having them all on Saturday."
"CMA 2024 #234","4","2024-11-04 Regular","45600","Awaiting Report Response","AR-24-45","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4582&MediaPosition=&ID=26092&CssClass=","Awaiting Report Item Number 24-045, regarding a request to implement a policy to ensure that City operated buildings have default temperatures that align with health and sustainability best practices."
"CMA 2024 #235","5","2024-11-04 Regular","45600","Awaiting Report Response","AR-24-59","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4582&MediaPosition=&ID=26091&CssClass=","Awaiting Report Item Number 24-59, regarding the feasibility of speed control bumps on Antrim Street."
"CMA 2024 #236","6","2024-11-04 Regular","45600","Awaiting Report Response","AR-24-49","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4582&MediaPosition=&ID=26088&CssClass=","Awaiting Report Item Number 24-49 , regarding a status update on the PACE Program."
"CMA 2024 #237","1","2024-11-18 Regular","45614","Communication","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26139&CssClass=","the findings of the 2024 Cambridge Resident Satisfaction Survey"
"CMA 2024 #238","2","2024-11-18 Regular","45614","Communication","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26140&CssClass=","the City Manager’s LGBTQ+ Friendly Housing Task Force Final Report."
"CMA 2024 #239","3","2024-11-18 Regular","45614","Appointment","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26141&CssClass=","Appointments of members to the Cambridge Street Safety Improvement Project Working Group."
"CMA 2024 #240","4","2024-11-18 Regular","45614","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26146&CssClass=","Appropriation of $283,725.00 funded by the Massachusetts Executive Office of Elder Affairs to the Grant Fund Department of Human Service Programs Salary and Wages account ($181,607.00), to the Grant Fund Department of Human Service Programs Other Ordinary Maintenance account ($88,118.00), and to the Grant Fund Department of Human Service Programs Travel and Training account ($14,000.00). This grant is awarded annually to the Department of Human Service Programs Council on Aging Division and is used to provide funding for department staff and services, including transportation for seniors through Door to Door, and part time Senior Center staff. Funds also support instructors and group facilitators who provide services virtually to seniors."
"CMA 2024 #241","5","2024-11-18 Regular","45614","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26147&CssClass=","Appropriation of $9,000.00 to the Grant Fund Human Service Programs Salary and Wages account ($9,000.00). The funds, received by the Friends of the CLC through individual donations, will be used to support ESOL instruction."
"CMA 2024 #242","6","2024-11-18 Regular","45614","Appropriation","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26149&CssClass=","Appropriation of $30,000.00 to the Grant Fund Human Service Programs Salary and Wages account ($25,367.00), to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($3,633.00), and to the Grant Fund Human Service Programs Travel and Training account ($1,000.00). The funds, raised by the Friends of the CLC, will be used to support the advising and coordination of the Bridge to College Program, as well as support for ESOL teaching. The grant period is from July 2024 through June 2025. The funds partially support staff salaries and program supplies."
"CMA 2024 #243","7","2024-11-18 Regular","45614","Appropriation","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26153&CssClass=","Appropriation of $4,350.00 to the Grant Fund Human Service Programs Salary and Wages account ($1,347.00), to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($103.00), and to the Grant Fund Human Service Programs Travel and Training account ($2,900.00). The funds, received by the Friends of the CLC through a First Literacy mini-grant will be used to support an ESOL part-time teacher/advisor to offer the Eco Club class to CLC students, as well as pay for incentives for students who participate in the Student Leadership project this year."
"CMA 2024 #244","8","2024-11-18 Regular","45614","Appropriation","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26158&CssClass=","Appropriation of $48,000.00 to the Grant Fund Human Service Programs Salary and Wages account ($41,194.00), to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($4,268.00), and to the Grant Fund Human Service Programs Travel and Training account ($2,538.00). The grant is provided through funds from the Jacobs Foundation, and will provide support for Bridge Program advising, coaching and mentoring, advising and outreach for the ESOL/Certified Nursing Assistant Program, and career advising for other CLC students. The funds partially support staff salaries and program supplies."
"CMA 2024 #245","9","2024-11-18 Regular","45614","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26160&CssClass=","Appropriation of $153,808.92 to the Grant Fund Human Service Programs Salary and Wages account ($107,139.83), and to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($46,669.09). Funds will be used for costs related to the Carey Men’s Permanent Supported Housing Program operated by the Multi-Service Center. This program assists homeless men to end their homelessness by providing housing at the Cambridge YMCA and counseling and case management services through the Multi-Service Center. Carey Program participants are assisted with issues that may have prevented them from maintaining stable housing, such as substance abuse, legal issues, mental health challenges, employability and more. Funds will be allocated for staff at the Multi Service Center, a contract with Eliot Community Human Services to provide Recovery Coach support, and supplies."
"CMA 2024 #246","10","2024-11-18 Regular","45614","Appointment","","","","Placed on File","","Roll Call","yes","no","yes","yes","no","yes","no","no","yes","E. Denise Simmons, Burhan Azeem, Patricia Nolan, Paul F. Toner, Catherine Zusy","Marc C. McGovern, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26143&CssClass=","the appointment of Erik Sarno and Andrea Taylor and the reappointment of Saffana Anwar, Christopher Fort, Robert Winters, Tahir Kapoor, and Esther Hanig to the Central Square Advisory Committee for a term of three years."
"CMA 2024 #247","11","2024-11-18 Regular","45614","Appointment","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26144&CssClass=","Appointments of Gareth Dohety, Ivy Moylan, Henry Grabar, Chad Bonney, and Ryan Clinesmith Montalvo and the reappointments of Matthew Simitis, Kari Kuelzer, John DiGiovanni, Nicola Williams, Alexandra Offiong, and Allison Crosbie to the Harvard Square Advisory Committee for a term of three years."
"CMA 2024 #248","12","2024-11-18 Regular","45614","Awaiting Report Response","AR-24-36","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26157&CssClass=","Awaiting Report Item Number 24-36, regarding coordinated and timely communication related to interjurisdictional transportation projects."
"CMA 2024 #249","13","2024-11-18 Regular","45614","Communication","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4583&MediaPosition=&ID=26155&CssClass=","provide an update on the employee engagement survey that we launched early this fall."
"CMA 2024 #250","1","2024-11-25 Regular","45621","Appointment","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4584&MediaPosition=&ID=26175&CssClass=","the appointment of Joe Camillus and Filo Castore as a members of to the Cambridge Redevelopment Authority (CRA) Board."
"CMA 2024 #251","2","2024-11-25 Regular","45621","Appointment","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4584&MediaPosition=&ID=26191&CssClass=","the reappointment of Tabithlee Howard and appointing Johanny Maria Castillo, Jasper Adiletta, Shanjnin (Eva) Asraf, Jasper Mallon, and Larisa Mendez-Peñate to the Coordinating Council for Children Youth and Families also known as the Family Policy Council, effective November 25, 2024"
"CMA 2024 #252","3","2024-11-25 Regular","45621","Awaiting Report Response","AR-24-37","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4584&MediaPosition=&ID=26173&CssClass=","Awaiting Report Item number 24-37, regarding a request for the City Manager to work with relevant City departments to consider a number of city application processes and find ways to reduce paper and printing waste."
"CMA 2024 #253","4","2024-11-25 Regular","45621","Awaiting Report Response","AR-24-32","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4584&MediaPosition=&ID=26189&CssClass=","Awaiting Report 24-32, regarding exploring with the MBTA how to best ensure that the public art, Gift of the Wind, is preserved."
"CMA 2024 #254","5","2024-11-25 Regular","45621","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4584&MediaPosition=&ID=26188&CssClass=","Appropriation of $15,000 to the Grant Fund Public Celebrations (Arts Council) Other Ordinary Maintenance account. The MCC Cultural District Grant provides financial support to state-designated Cultural Districts throughout the Commonwealth. This funding will support District-based initiatives that drive economic growth and strengthen the distinctive character of the Central Square Cultural District."
"CMA 2024 #255","1","2024-12-02 Regular","45628","Communication","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4585&MediaPosition=&ID=26205&CssClass=","a Surveillance Technology Impact Report (STIR)."
"CMA 2024 #256","2","2024-12-02 Regular","45628","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4585&MediaPosition=&ID=26204&CssClass=","Appropriation of $40,529 to the Grant Fund Human Rights Salary and Wages Account ($34,529) and the Grant Fund Human Rights Travel and Training Account ($6,000). The grant award is used to cover a portion of the salary of the Cambridge Human Rights Commission (CHRC) Attorney-Investigator, who works on Fair Housing Assistance Program (FHAP) cases.  FHAP activities include case processing, education/outreach, and participation in any mandatory HUD-sponsored training.  HUD requires ongoing staff training on the Fair Housing Act and regulations, investigation skills and techniques, decision drafting, conciliation, and changes in federal anti-discrimination law.  The grant award also provides funding for CHRC staff and commissioner travel and training for fair housing-related educational opportunities."
"CMA 2024 #257","3","2024-12-02 Regular","45628","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4585&MediaPosition=&ID=26287&CssClass=","an update regarding Community Engagement."
"CMA 2024 #258","1","2024-12-09 Regular","45635","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26309&CssClass=","on update on the City's Rodent Control Programs."
"CMA 2024 #259","2","2024-12-09 Regular","45635","Appointment","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26299&CssClass=","the appointment of Zhonghe Li and Jean Dany Joachim and the re-appointment of David Daniel, Aliyah Gary, Lori Lander, Calvin Lindsay Jr., Ann Lawson, Stella Aguirre McGregor, Michael Monestime, Diane Charyk Norris, Katherine Megumi Shozawa and Christine Lamas Weinberg to the Cambridge Arts Advisory Board for a term of three years."
"CMA 2024 #260","3","2024-12-09 Regular","45635","Awaiting Report Response","","POR 2024 #66","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26300&CssClass=","Awaiting Report Item Number 24-24, regarding a porchfest pilot."
"CMA 2024 #261","4","2024-12-09 Regular","45635","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26310&CssClass=","an update on the Cambridge Redevelopment Authority Affordable Homeownership Commitment."
"CMA 2024 #262","5","2024-12-09 Regular","45635","Appropriation","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26301&CssClass=","Appropriation of $1,117,356.00 funded by the Federal Department of Health and Human Services and administered by the Massachusetts Executive Office of Housing and Livable Communities (EOHLC) to the Grant Fund Human Service Programs Salary and Wages account ($163,078.01), and to the Grant Fund Human Service Programs Other Ordinary Maintenance account ($954,277.99). The program assists with heating bills between November 1, 2024 – April 30, 2025."
"CMA 2024 #263","6","2024-12-09 Regular","45635","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26303&CssClass=","the proposed Bluebike bike share system contract term."
"CMA 2024 #264","7","2024-12-09 Regular","45635","Awaiting Report Response","AR-24-61","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4586&MediaPosition=&ID=26304&CssClass=","Awaiting Report Item Number 24-61, regarding lowering speeds on state highways."
"CMA 2025 #1","1","2025-01-06 Regular","45663","Appropriation","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26954&CssClass=","Appropriation of $29,388,181.96 from Free Cash to the Mitigation Revenue Stabilization Fund.  During FY24, the City received mitigation revenues from various developers as a result of commitments related to zoning ordinance amendments and special permit conditions.  By law, all mitigation revenues must be deposited into the General Fund and can only be appropriated after the Free Cash Certification is complete."
